,Speed,TimeSinceLast,DistinctIds,VideoForumThreads,DurationOfVideoActivity,SelectiveNumOfEvents,ProblemID,UserID,SubmissionNumber
1919,361.5,2169.0,0.0,1.0,0.0,0.0,11,a4ccc445076840c2b795e28965867403,2
1920,238.0,1428.0,0.0,2.0,0.0,0.0,11,a4ccc445076840c2b795e28965867403,4
1921,59.8333333333,359.0,0.0,2.0,0.0,0.0,11,a4ccc445076840c2b795e28965867403,16
1922,4388.66666667,26332.0,0.0,4.0,0.0,0.0,11,a4ccc445076840c2b795e28965867403,20
1923,5140.5,30843.0,0.0,2.0,0.0,0.0,11,a4ccc445076840c2b795e28965867403,29
1924,55069.0,110138.0,1.0,0.0,577.0,9.0,11,3bbc9f6089d9bfcfc9b4cb751d5e12cf,4
1925,745.5,1491.0,0.0,22.0,0.0,0.0,11,812aff82ecb1033c3c54429f0fd53a5d,7
1926,280.5,561.0,0.0,7.0,0.0,0.0,11,1c087fef0b6d8bac2291dbaf76038f88,1
1927,13264.0,39792.0,0.0,3.0,0.0,0.0,11,55c95da176f4b6a1d02bdc532d6f5428,6
1928,124.333333333,373.0,0.0,6.0,0.0,0.0,11,55c95da176f4b6a1d02bdc532d6f5428,7
1929,4482.5,8965.0,0.0,4.0,0.0,0.0,11,e97e8cf274dfbd0fb5f649f83453b57b,3
1930,243.5,974.0,0.0,13.0,0.0,0.0,11,1f67cc8e31abc036b81e99408d6cb1d0,2
1931,213.0,852.0,0.0,2.0,0.0,0.0,11,1f67cc8e31abc036b81e99408d6cb1d0,3
1932,179.75,719.0,0.0,6.0,0.0,0.0,11,1f67cc8e31abc036b81e99408d6cb1d0,4
1933,163.0,326.0,0.0,2.0,0.0,0.0,11,557081622b6998e878f757be395a86a9,1
1934,174.5,349.0,0.0,6.0,0.0,0.0,11,92c225fa761748ef3b802050ace40f8c,1
1935,909.5,1819.0,0.0,24.0,0.0,0.0,11,fc391058576d150a1f3832e5c3cb74d3,3
1936,105.5,211.0,0.0,5.0,0.0,0.0,11,77deeff15e8f538426cd29fe27e743b8,1
1937,1045.33333333,3136.0,1.0,0.0,618.0,8.0,11,1e32fea29d29d10a5a72a8cb2feb27ea,5
